price,area,orient
4000元/月,59㎡,朝南 北
3000元/月,62㎡,朝南
"5000元/月
          (季付价)",56㎡,朝南 北
"4700元/月
          (季付价)",38㎡,朝北
2500元/月,48㎡,朝南
3500元/月,62㎡,朝南
"5200元/月
          (季付价)",101㎡,朝南 北
3800元/月,56㎡,朝南 北
"3500元/月
          (季付价)",50㎡,朝南 北
3800元/月,55㎡,朝东 西
"3500元/月
          (季付价)",59㎡,朝东 南 北
4000元/月,55㎡,朝东 西
"2500元/月
          (季付价)",83㎡,朝南 北
2600元/月,76㎡,朝南
"5200元/月
          (季付价)",42㎡,朝南
"5700元/月
          (季付价)",60㎡,朝东
3000元/月,41㎡,朝南
3600元/月,45㎡,朝南
2500元/月,10㎡,朝北
4000元/月,53㎡,朝东
4500元/月,97㎡,朝东 西
2800元/月,60㎡,朝南
"4700元/月
          (季付价)",85㎡,朝南 北
"4500元/月
          (季付价)",63㎡,朝北
"3500元/月
          (季付价)",37㎡,朝东
"3000元/月
          (季付价)",42㎡,朝南 北
4600元/月,55㎡,朝北
3300元/月,43㎡,朝南
"4600元/月
          (季付价)",32㎡,朝南
"4500元/月
          (季付价)",39㎡,朝东
